vaccine_time,vaccine_amount,A1-R1,A1-R2,A5-R1,A5-R2,A4-R1,A4-R2,A3-R1,A3-R2,A2-R1,A2-R2
03/16/2022,0.0002153013103391534,0,0,-13.440000000000001,-10.56,56.0,24.0,166.6,29.4,18.0,2.0
03/17/2022,0.0004129171559004478,0,0,32.480000000000004,25.52,76.3,32.699999999999996,204.0,36.0,0.0,0.0
03/18/2022,0.0004182996886589266,0,0,36.96,29.04,79.1,33.9,192.1,33.9,0.0,0.0
03/19/2022,0.00026374410516546293,0,0,12.88,10.12,56.0,24.0,143.65,25.349999999999998,0.0,0.0
03/20/2022,0.00025221010639729397,0,0,19.040000000000003,14.96,43.4,18.599999999999998,128.35,22.65,0.0,0.0
03/21/2022,8.688945738687261e-05,0,0,6.720000000000001,5.28,15.399999999999999,6.6,41.65,7.35,0.0,0.0
03/22/2022,0.00019223331280281554,0,0,14.559999999999999,11.439999999999998,33.599999999999994,14.399999999999999,101.14999999999999,17.849999999999998,0.0,0.0
03/23/2022,0.0002714334376775755,0,0,25.76,20.24,59.49999999999999,25.5,121.55,21.45,0.0,0.0
03/24/2022,0.0002837363696969557,0,0,30.800000000000004,24.2,42.0,18.0,143.65,25.349999999999998,0.0,0.0
03/25/2022,0.0002276042423585336,0,0,22.400000000000002,17.6,42.699999999999996,18.3,106.25,18.75,0.0,0.0
03/26/2022,0.00029065676895785706,0,0,27.44,21.56,41.29999999999999,17.699999999999996,122.39999999999999,21.599999999999998,0.0,0.0
03/27/2022,0.00023375570836822368,0,0,16.8,13.2,44.09999999999999,18.899999999999995,122.39999999999999,21.599999999999998,0.0,0.0
03/28/2022,0.000143790517976506,0,0,11.200000000000001,8.8,19.599999999999998,8.4,71.39999999999999,12.6,0.0,0.0
03/29/2022,0.00019838477881250563,0,0,20.160000000000004,15.84,39.20000000000001,16.800000000000004,93.5,16.5,0.0,0.0
03/30/2022,0.0003575539618132369,0,0,43.68000000000001,34.32,62.3,26.7,141.95,25.05,0.0,0.0
03/31/2022,0.00033986849703537787,0,0,47.040000000000006,36.96,66.5,28.5,111.35,19.65,0.0,0.0
04/01/2022,0.0007120321906216288,0,0,121.52000000000001,95.48,170.79999999999998,73.2,153.0,27.0,0.0,0.0
04/02/2022,0.0005659348728914889,0,0,150.64000000000001,118.36,99.39999999999999,42.6,-11.9,-2.1,0.0,0.0
04/03/2022,0.0004013831571322788,0,0,92.96000000000001,73.04,91.0,39.0,21.250000000000046,3.7500000000000084,0.0,0.0
04/04/2022,0.00023221784186580117,0,0,61.040000000000006,47.96,42.0,18.0,-6.8,-1.2,0.0,0.0
04/05/2022,0.00021453237708794211,0,0,75.04,58.96,28.7,12.299999999999999,-62.05,-10.95,0.0,0.0
04/06/2022,0.0003529403623059693,0,0,95.19999999999999,74.79999999999998,72.80000000000001,31.200000000000006,-3.399999999999976,-0.5999999999999958,0.0,0.0
04/07/2022,0.0006036126022008407,0,0,197.68,155.32,104.99999999999996,44.99999999999998,-84.14999999999995,-14.84999999999999,0.0,0.0
